,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
563,"Wichita, KS",United States,70.95,23.05,48.39,76.39,63.4,120.26,2016
564,Windhoek,Namibia,39.88,22.57,31.73,34.35,36.02,50.73,2016
565,Windsor,Canada,72.11,20.35,47.74,63.13,62.36,120.65,2016
566,Winnipeg,Canada,68.83,25.97,48.65,65.95,65.36,102.11,2016
567,Wollongong,Australia,79.49,33.8,57.98,79.51,73.96,117.04,2016
568,Wroclaw,Poland,39.44,16.55,28.66,30.73,33.16,74.91,2016
569,Yekaterinburg,Russia,33.82,11.38,23.25,27.96,34.61,51.11,2016
570,Yerevan,Armenia,34.56,11.6,23.75,26.56,31.68,33.66,2016
571,Yogyakarta,Indonesia,37.83,7.64,23.61,36.93,14.48,18.06,2016
572,Zagreb,Croatia,50.48,12.81,32.75,42.22,40.13,69.54,2016
573,Zaragoza (Saragossa),Spain,64.52,16.53,41.93,55.92,56.39,83.35,2016
574,Zug,Switzerland,122.1,68.16,96.7,119.77,120.27,163.79,2016
575,Zurich,Switzerland,132.32,66.33,101.25,129.27,135.98,159.67,2016
576,Zurich, Switzerland,149.53,66.76,108.77,163.71,140.58,126.3,2017
577,Hamilton, Bermuda,148.13,117.8,133.2,145.2,152.54,93.42,2017
578,Zug, Switzerland,142.54,67.39,105.54,148.36,143.18,105.62,2017
579,Geneva, Switzerland,142.12,70.25,106.73,147.13,138.96,115.2,2017
580,Basel, Switzerland,142.02,51.54,97.47,149.54,131.72,113.13,2017
581,Bern, Switzerland,135.51,45.33,91.11,145.72,122.48,101.65,2017
582,Lausanne, Switzerland,131.38,54.56,93.56,136.95,127.87,112.33,2017
583,Reykjavik, Iceland,130.73,55.9,93.89,128.37,140.61,68.49,2017
584,Lugano, Switzerland,124.39,51.73,88.62,120.83,127.53,108.92,2017
585,Stavanger, Norway,116.98,37.4,77.8,107.72,142.61,101.0,2017
586,Trondheim, Norway,116.02,41.27,79.22,110.1,128.03,93.68,2017
587,Oslo, Norway,114.78,47.99,81.9,111.48,126.2,86.67,2017
588,Bergen, Norway,112.66,39.58,76.68,106.84,117.45,87.68,2017
589,Nassau, Bahamas,109.58,37.4,74.04,103.09,99.27,43.82,2017
590,"Honolulu, HI", United States,103.32,64.98,84.44,121.83,88.49,84.93,2017
591,"San Francisco, CA", United States,101.94,119.63,110.65,116.73,93.57,104.4,2017
592,"Anchorage, AK", United States,101.9,41.57,72.2,109.58,88.67,130.22,2017
593,"Brooklyn, NY", United States,101.06,77.52,89.47,105.51,106.84,82.64,2017
594,"New York, NY", United States,100.0,100.0,100.0,100.0,100.0,100.0,2017
595,"Rockville, MD", United States,98.81,61.4,80.39,97.2,71.68,135.58,2017
596,Tokyo, Japan,97.71,38.68,68.65,107.25,57.87,93.49,2017
597,Copenhagen, Denmark,97.14,49.61,73.74,78.25,113.91,93.39,2017
598,"Washington, DC", United States,95.96,74.32,85.31,96.97,90.78,107.86,2017
599,"New Haven, CT", United States,94.1,47.09,70.95,112.78,91.54,114.53,2017
600,"Berkeley, CA", United States,93.86,76.36,85.24,109.86,81.71,87.37,2017
601,"Seattle, WA", United States,93.31,65.46,79.6,98.17,86.72,121.29,2017
602,"Arlington, VA", United States,93.17,67.79,80.67,93.16,85.61,117.45,2017
603,Aalborg, Denmark,92.12,25.34,59.24,77.34,104.6,89.9,2017
604,Tel Aviv-Yafo, Israel,92.09,49.51,71.12,80.75,96.79,93.0,2017
605,"Santa Rosa, CA", United States,91.92,55.04,73.76,97.22,78.7,116.21,2017
606,Sydney, Australia,91.42,66.35,79.08,88.91,75.94,102.69,2017
607,Limerick, Ireland,91.28,24.7,58.5,90.69,80.66,80.06,2017
608,Stockholm, Sweden,91.21,42.98,67.46,87.98,91.35,88.09,2017
609,"Bellevue, WA", United States,91.18,67.97,79.75,97.99,80.55,138.68,2017
610,Perth, Australia,91.03,39.98,65.89,89.61,94.19,105.98,2017
611,Auckland, New Zealand,90.97,44.46,68.07,86.28,77.66,90.77,2017
612,"Oakland, CA", United States,90.73,78.69,84.8,97.63,84.79,91.15,2017
613,Jerusalem, Israel,90.73,36.74,64.15,75.74,99.24,73.51,2017
614,"Miami, FL", United States,90.68,63.46,77.27,93.95,98.47,89.18,2017
615,"Boston, MA", United States,90.23,78.41,84.41,93.76,87.59,112.94,2017
616,Hamilton, New Zealand,90.22,25.86,58.53,84.08,86.07,122.44,2017
617,Paris, France,89.98,45.8,68.23,87.3,88.3,89.07,2017
618,Darwin, Australia,89.91,45.41,68.0,91.03,95.6,97.2,2017
619,London, United Kingdom,89.34,73.37,81.48,67.7,96.34,77.75,2017
620,Cairns, Australia,88.52,29.28,59.35,87.81,80.18,78.43,2017
621,Dublin, Ireland,88.49,54.65,71.83,73.25,91.98,82.09,2017
622,"Charleston, SC", United States,88.41,48.83,68.92,98.58,78.7,111.13,2017
623,Linz, Austria,88.39,28.3,58.8,86.61,84.92,81.61,2017
624,Amsterdam, Netherlands,88.25,51.33,70.07,75.16,92.24,85.23,2017
625,Singapore, Singapore,88.07,66.99,77.69,81.34,61.4,88.14,2017
626,"Philadelphia, PA", United States,87.74,49.34,68.83,91.14,80.92,115.92,2017
627,Luxembourg, Luxembourg,87.43,54.71,71.32,76.46,97.79,104.71,2017
628,"Melbourne, FL", United States,87.34,30.73,59.47,104.43,81.84,136.52,2017
629,Helsinki, Finland,87.24,39.8,63.88,76.39,92.69,99.09,2017
630,"Burlington, VT", United States,87.21,41.14,64.52,97.28,82.09,95.31,2017
631,Arhus, Denmark,87.12,31.61,59.79,67.21,99.8,102.14,2017
632,Lyon, France,87.04,24.45,56.22,86.32,79.12,85.83,2017
633,Beersheba, Israel,86.99,18.83,53.43,75.86,84.99,79.89,2017
634,"Tacoma, WA", United States,86.78,36.99,62.26,91.42,75.32,110.13,2017
635,Antwerp, Belgium,86.24,26.63,56.89,79.59,94.81,76.93,2017
636,Melbourne, Australia,86.11,44.02,65.38,87.3,76.69,111.5,2017
637,Adelaide, Australia,86.08,33.39,60.14,86.53,78.04,105.84,2017
638,Dusseldorf, Germany,85.92,34.53,60.62,70.52,82.69,95.7,2017
639,Seoul, South Korea,85.89,33.41,60.05,107.03,47.48,84.05,2017
640,"Baltimore, MD", United States,85.65,47.62,66.93,91.75,82.5,109.07,2017
641,Ramat Gan, Israel,85.61,36.47,61.41,73.09,89.45,108.03,2017
642,Christchurch, New Zealand,85.39,31.18,58.7,83.29,80.42,76.59,2017
643,"Minneapolis, MN", United States,85.38,43.62,64.81,96.04,78.89,115.28,2017
644,"Boulder, CO", United States,85.34,54.96,70.38,90.71,79.07,130.31,2017
645,Gent, Belgium,85.32,25.28,55.76,77.08,90.47,82.14,2017
646,"San Jose, CA", United States,85.13,83.63,84.39,90.68,84.04,140.74,2017
647,"Queens, NY", United States,84.7,63.98,74.5,80.22,88.5,98.73,2017
648,St. John's, Canada,84.62,21.85,53.71,93.44,81.38,82.76,2017
649,Brisbane, Australia,84.56,42.04,63.62,82.3,80.38,110.56,2017
650,"Portland, ME", United States,84.53,40.28,62.74,91.22,89.26,98.86,2017
651,Leuven, Belgium,84.43,27.78,56.54,85.53,78.74,72.27,2017
652,Hobart, Australia,84.43,29.67,57.47,85.04,90.66,87.21,2017
653,"Chicago, IL", United States,84.39,56.81,70.81,83.89,83.68,118.59,2017
654,Milan, Italy,84.32,40.06,62.53,76.95,88.99,61.78,2017
655,"Akron, OH", United States,84.18,21.06,53.1,96.39,66.97,77.07,2017
656,Frankfurt, Germany,84.17,36.38,60.64,74.43,79.26,98.02,2017
657,"Olympia, WA", United States,84.07,31.38,58.13,92.66,73.7,171.26,2017
658,Gothenburg, Sweden,84.06,29.42,57.16,79.16,89.95,96.41,2017
659,Wellington, New Zealand,83.98,36.74,60.72,82.91,75.43,133.6,2017
660,"Hartford, CT", United States,83.7,42.97,63.65,86.3,86.72,101.18,2017
661,Florence, Italy,83.56,28.68,56.54,73.49,84.31,56.89,2017
662,Saskatoon, Canada,83.15,28.44,56.21,90.72,71.67,83.67,2017
663,Reading, United Kingdom,83.15,39.87,61.84,71.07,93.22,102.32,2017
664,"Allentown, PA", United States,83.1,34.6,59.22,90.72,70.47,93.39,2017
665,The Hague (Den Haag), Netherlands,83.07,32.69,58.26,69.21,88.64,94.94,2017
666,Haifa, Israel,82.9,21.77,52.8,69.55,90.85,114.85,2017
667,Aberdeen, United Kingdom,82.82,31.71,57.66,70.07,94.86,102.77,2017
668,Canberra, Australia,82.81,43.63,63.52,82.67,80.31,118.74,2017
669,"Irvine, CA", United States,82.79,65.6,74.33,88.68,79.0,126.76,2017
670,"Sacramento, CA", United States,82.76,43.53,63.45,87.64,75.56,121.89,2017
671,"Everett, WA", United States,82.76,41.16,62.27,94.42,72.62,100.36,2017
672,Brussels, Belgium,82.68,34.19,58.8,74.25,90.76,86.75,2017
673,"Fort Collins, CO", United States,82.53,40.78,61.98,95.23,71.33,63.35,2017
674,Halifax, Canada,82.49,28.13,55.72,89.36,82.37,78.76,2017
675,Cambridge, United Kingdom,82.43,44.13,63.57,69.24,93.5,93.6,2017
676,Genoa, Italy,82.35,20.97,52.13,75.05,78.0,57.0,2017
677,"New Orleans, LA", United States,82.33,41.07,62.01,85.51,84.97,101.33,2017
678,"Pittsburgh, PA", United States,82.25,39.28,61.09,84.36,74.44,131.51,2017
679,Tampere, Finland,82.15,26.35,54.67,71.95,87.94,94.02,2017
680,"Los Angeles, CA", United States,82.11,67.55,74.94,82.06,84.13,118.09,2017
681,Turku, Finland,82.07,25.07,54.0,73.27,86.38,105.86,2017
682,Hamburg, Germany,81.95,31.88,57.3,70.58,71.82,95.78,2017
683,"Orlando, FL", United States,81.87,40.14,61.32,89.93,77.83,117.11,2017
684,"Portland, OR", United States,81.72,51.94,67.06,85.72,71.25,122.71,2017
685,Maastricht, Netherlands,81.71,29.99,56.24,75.19,80.65,90.25,2017
686,"Denver, CO", United States,81.71,54.11,68.12,84.5,79.32,129.35,2017
687,"Saint Paul, MN", United States,81.64,38.14,60.22,88.63,73.01,88.16,2017
688,Cork, Ireland,81.57,36.96,59.61,68.09,86.58,88.99,2017
689,"Asheville, NC", United States,81.19,36.62,59.25,95.78,69.44,129.28,2017
690,"Santa Barbara, CA", United States,81.14,70.52,75.91,80.42,86.66,176.22,2017
691,Toulouse, France,81.0,24.76,53.31,78.82,79.73,102.14,2017
692,"Indianapolis, IN", United States,80.87,30.57,56.1,86.66,76.61,85.5,2017
693,Red Deer, Canada,80.82,25.67,53.67,79.29,78.42,91.82,2017
694,Lund, Sweden,80.82,22.03,51.87,77.83,81.28,102.88,2017
695,Lethbridge, Canada,80.81,24.26,52.97,82.39,61.44,96.37,2017
696,Utrecht, Netherlands,80.7,37.98,59.67,68.94,90.5,93.44,2017
697,"Jersey City, NJ", United States,80.7,68.03,74.46,81.67,78.18,140.69,2017
698,"Atlanta, GA", United States,80.68,44.2,62.72,86.13,77.17,136.03,2017
699,Padova, Italy,80.46,21.85,51.6,68.41,80.4,63.35,2017
700,Munich, Germany,80.31,42.45,61.67,67.7,77.84,108.18,2017
701,"Eugene, OR", United States,80.22,31.42,56.19,94.92,67.22,108.26,2017
702,Oxford, United Kingdom,80.09,51.18,65.86,64.02,79.84,74.67,2017
703,"San Diego, CA", United States,79.89,60.79,70.49,83.15,78.95,129.95,2017
704,"Cleveland, OH", United States,79.64,30.27,55.33,78.0,79.61,112.89,2017
705,"West Palm Beach, FL", United States,79.61,44.16,62.16,85.54,78.17,108.9,2017
706,Osaka, Japan,79.56,24.08,52.25,80.91,44.73,94.8,2017
707,"Detroit, MI", United States,79.5,36.81,58.48,82.7,67.57,124.39,2017
708,"Jacksonville, FL", United States,79.48,33.71,56.95,86.89,72.29,95.46,2017
709,"Milwaukee, WI", United States,79.48,33.67,56.93,81.2,75.73,127.22,2017
710,Barrie, Canada,79.28,26.09,53.09,81.44,76.13,94.54,2017
711,Hong Kong, Hong Kong,79.24,82.67,80.93,83.4,56.3,74.04,2017
712,Gold Coast, Australia,79.24,37.71,58.79,81.07,72.99,110.96,2017
713,Malmo, Sweden,79.24,27.11,53.58,76.99,83.08,106.32,2017
714,"Fayetteville, AR", United States,79.07,22.93,51.43,88.7,67.54,80.29,2017
715,Waterloo, Canada,79.02,27.85,53.82,80.05,69.05,111.27,2017
716,"Greensboro, NC", United States,78.98,25.26,52.53,90.06,61.02,133.43,2017
717,"Tampa, FL", United States,78.92,44.51,61.98,85.17,80.01,102.73,2017
718,Bergamo, Italy,78.83,20.86,50.28,67.3,88.8,73.7,2017
719,"Memphis, TN", United States,78.8,28.82,54.19,84.63,73.14,125.81,2017
720,Newcastle, Australia,78.76,41.02,60.18,80.92,83.53,119.36,2017
721,Galway, Ireland,78.64,32.27,55.81,70.26,78.87,98.66,2017
722,Rome, Italy,78.6,40.21,59.7,71.13,81.95,59.82,2017
723,Edinburgh, United Kingdom,78.57,32.71,55.99,71.7,79.39,93.93,2017
724,"Plano, TX", United States,78.55,40.22,59.68,78.1,66.46,149.09,2017
725,"Grand Rapids, MI", United States,78.54,32.68,55.96,82.13,72.53,122.5,2017
726,Parma, Italy,78.4,22.79,51.02,64.52,93.46,72.13,2017
727,"Saint Petersburg, FL", United States,78.32,41.09,59.99,82.17,79.2,133.67,2017
728,"Nashville, TN", United States,78.28,46.63,62.69,83.87,74.48,116.83,2017
729,"Little Rock, AR", United States,78.2,25.58,52.29,90.26,66.91,111.23,2017
730,"Austin, TX", United States,78.12,51.84,65.18,81.79,77.67,122.65,2017
731,Eindhoven, Netherlands,77.8,31.93,55.21,60.84,89.83,101.65,2017
732,"Des Moines, IA", United States,77.79,31.89,55.19,92.55,65.1,84.89,2017
733,Uppsala, Sweden,77.78,26.74,52.65,68.2,84.22,98.13,2017
734,"Fort Lauderdale, FL", United States,77.71,52.75,65.42,79.97,78.35,102.52,2017
735,"Harrisburg, PA", United States,77.53,26.7,52.5,88.04,66.89,116.75,2017
736,Rotterdam, Netherlands,77.47,31.02,54.6,61.07,85.16,97.14,2017
737,Bologna, Italy,77.24,24.86,51.45,70.57,81.97,66.96,2017
738,"Fresno, CA", United States,77.15,31.72,54.78,78.07,77.2,131.93,2017
739,"Syracuse, NY", United States,76.96,28.49,53.09,81.82,65.68,84.89,2017
740,Lille, France,76.74,23.66,50.61,67.3,72.73,83.01,2017
741,Coventry, United Kingdom,76.71,24.87,51.18,65.03,68.85,106.76,2017
742,Heidelberg, Germany,76.57,34.35,55.78,67.21,67.16,121.62,2017
743,Nottingham, United Kingdom,76.43,23.73,50.48,68.24,73.62,95.28,2017
744,Victoria, Canada,76.43,35.37,56.21,82.8,70.21,100.1,2017
745,"Charlotte, NC", United States,76.42,40.35,58.66,80.07,75.86,99.98,2017
746,"Richmond, VA", United States,76.27,36.48,56.68,88.48,65.84,110.98,2017
747,"Buffalo, NY", United States,76.25,29.56,53.27,76.76,74.27,93.86,2017
748,York, United Kingdom,76.24,27.91,52.44,67.26,83.31,101.79,2017
749,Trieste, Italy,76.2,20.74,48.9,72.81,83.25,80.27,2017
750,Calgary, Canada,76.09,31.82,54.29,76.3,70.71,117.87,2017
751,Vienna, Austria,75.98,31.71,54.19,72.42,70.77,88.36,2017
752,Brighton, United Kingdom,75.98,41.55,59.03,60.75,84.26,76.23,2017
753,"Dayton, OH", United States,75.86,21.14,48.92,87.31,59.68,92.25,2017
754,"Augusta, GA", United States,75.83,20.52,48.59,83.71,65.58,100.72,2017
755,"Newark, NJ", United States,75.82,37.05,56.73,68.82,85.79,96.8,2017
756,"Raleigh, NC", United States,75.81,38.07,57.23,87.07,71.67,137.76,2017
757,"Greenville, SC", United States,75.75,35.94,56.15,85.7,67.11,116.46,2017
758,"Saint Louis, MO", United States,75.57,30.21,53.24,79.36,71.65,138.13,2017
759,Edmonton, Canada,75.51,29.15,52.68,77.57,68.17,97.38,2017
760,"Birmingham, AL", United States,75.32,28.16,52.1,78.05,74.72,130.74,2017
761,Nantes, France,75.22,21.77,48.9,69.74,75.54,103.53,2017
762,Sliema, Malta,75.21,30.56,53.23,68.97,78.48,67.89,2017
763,Glasgow, United Kingdom,75.2,28.24,52.08,64.82,82.93,99.45,2017
764,Bristol, United Kingdom,75.15,37.72,56.72,64.98,85.55,90.65,2017
765,Norwich, United Kingdom,75.1,24.54,50.2,59.03,77.77,77.85,2017
766,Manchester, United Kingdom,75.02,29.34,52.53,64.27,83.63,82.15,2017
767,"Shreveport, LA", United States,75.01,23.88,49.83,83.48,67.61,66.12,2017
768,Graz, Austria,74.98,22.98,49.38,72.61,62.51,96.54,2017
769,"Houston, TX", United States,74.95,44.18,59.8,79.6,72.1,147.15,2017
770,Groningen, Netherlands,74.95,27.45,51.56,64.61,83.66,90.22,2017
771,"Durham, NC", United States,74.94,35.04,55.3,82.87,65.67,150.01,2017
772,"Louisville, KY", United States,74.89,28.35,51.97,87.46,64.14,106.05,2017
773,Vancouver, Canada,74.67,49.07,62.06,80.43,68.51,81.79,2017
774,"Columbia, SC", United States,74.6,30.07,52.67,84.2,69.25,73.57,2017
775,Stuttgart, Germany,74.52,31.54,53.36,56.92,72.24,114.35,2017
776,"Tallahassee, FL", United States,74.38,29.79,52.42,86.14,59.97,89.04,2017
777,Mississauga, Canada,74.34,35.04,54.99,74.52,65.37,90.91,2017
778,"Rochester, NY", United States,74.12,29.85,52.32,80.49,73.53,121.55,2017
779,"Las Vegas, NV", United States,74.03,30.85,52.77,70.97,77.69,137.36,2017
780,San Juan, Puerto Rico,73.99,28.12,51.4,74.15,67.26,89.06,2017
781,Dubai, United Arab Emirates,73.95,71.92,72.95,65.13,65.95,101.67,2017
782,"Spokane, WA", United States,73.72,27.02,50.73,77.5,67.93,108.18,2017
783,"Manchester, NH", United States,73.64,33.62,53.93,81.09,67.9,102.95,2017
784,"Salem, OR", United States,73.33,29.8,51.89,76.12,73.66,90.58,2017
785,"Cincinnati, OH", United States,73.22,32.4,53.12,72.84,70.24,108.68,2017
786,Kelowna, Canada,73.2,32.8,53.31,78.56,67.77,95.08,2017
787,Fredericton, Canada,73.1,18.62,46.28,76.98,70.32,88.24,2017
788,"Tulsa, OK", United States,73.08,29.11,51.43,79.06,65.4,108.64,2017
789,"Fort Worth, TX", United States,73.02,35.36,54.48,75.47,67.27,138.85,2017
790,Regina, Canada,73.02,27.15,50.43,76.75,65.63,97.16,2017
791,"Lexington, KY", United States,73.01,27.86,50.78,77.85,64.7,104.85,2017
792,Gatineau, Canada,72.96,18.66,46.23,80.92,65.61,96.95,2017
793,"Chattanooga, TN", United States,72.94,27.14,50.39,80.35,65.89,116.33,2017
794,Montevideo, Uruguay,72.91,20.09,46.9,58.79,74.81,29.29,2017
795,Toronto, Canada,72.88,42.64,57.99,69.07,69.34,103.98,2017
796,"Virginia Beach, VA", United States,72.88,37.05,55.24,75.53,69.37,126.81,2017
797,Southampton, United Kingdom,72.77,31.26,52.33,61.49,76.78,95.25,2017
798,Nanaimo, Canada,72.64,23.36,48.38,81.24,60.16,85.7,2017
799,Karlsruhe, Germany,72.62,24.63,48.99,54.69,78.94,113.65,2017
800,"Wichita, KS", United States,72.56,24.87,49.08,78.53,68.65,94.16,2017
801,"Columbus, OH", United States,72.48,34.29,53.68,72.85,65.5,127.65,2017
802,Bilbao, Spain,72.42,28.78,50.93,67.13,72.53,78.55,2017
803,London, Canada,72.36,24.38,48.74,72.67,66.58,94.42,2017
804,Leeds, United Kingdom,72.34,28.02,50.52,63.62,80.12,92.16,2017
805,"Fremont, CA", United States,72.33,71.85,72.09,64.86,76.33,139.47,2017
806,Berlin, Germany,72.32,30.47,51.71,61.25,59.88,96.65,2017
807,Bonn, Germany,72.23,27.82,50.37,56.55,68.41,98.18,2017
808,"Fort Myers, FL", United States,72.08,30.63,51.67,79.19,64.03,71.17,2017
809,"Bakersfield, CA", United States,72.08,28.2,50.47,75.73,68.96,110.66,2017
810,Sheffield, United Kingdom,72.06,24.02,48.41,55.84,82.37,104.15,2017
811,Naples, Italy,71.97,20.33,46.54,70.24,61.38,47.72,2017
812,"Fort Wayne, IN", United States,71.94,21.88,47.29,81.86,68.39,127.49,2017
813,Quebec City, Canada,71.94,17.78,45.27,76.11,64.92,101.72,2017
814,Winnipeg, Canada,71.85,24.59,48.58,73.05,67.34,91.56,2017
815,Cologne, Germany,71.65,27.81,50.07,55.35,69.27,111.0,2017
816,Turin, Italy,71.63,21.43,46.91,61.23,74.34,73.54,2017
817,"Phoenix, AZ", United States,71.45,32.02,52.04,67.59,77.01,122.68,2017
818,"Ann Arbor, MI", United States,71.41,42.12,56.99,72.37,62.74,152.98,2017
819,"Vancouver, WA", United States,71.41,32.38,52.19,69.54,67.33,114.44,2017
820,Taipei, Taiwan,71.4,20.2,46.19,90.68,33.04,98.3,2017
821,Surrey, Canada,71.37,29.56,50.79,75.26,65.61,74.38,2017
822,Guelph, Canada,71.22,28.42,50.15,70.26,68.49,96.81,2017
823,Windsor, Canada,71.18,20.12,46.04,66.44,62.45,106.15,2017
824,Ottawa, Canada,71.16,31.28,51.52,68.1,73.36,110.28,2017
825,Newcastle Upon Tyne, United Kingdom,70.97,24.67,48.17,56.47,79.46,105.44,2017
826,"Pensacola, FL", United States,70.9,28.0,49.78,75.85,64.15,116.64,2017
827,Kingston, Canada,70.82,28.33,49.9,72.66,62.66,86.31,2017
828,"Madison, WI", United States,70.79,37.22,54.26,70.54,69.64,120.06,2017
829,Nuremberg, Germany,70.68,23.59,47.49,55.33,70.2,120.3,2017
830,Birmingham, United Kingdom,70.65,27.5,49.41,58.41,76.05,95.4,2017
831,Cardiff, United Kingdom,70.64,25.85,48.59,67.39,70.64,95.26,2017
832,Moncton, Canada,70.55,18.32,44.83,71.92,64.2,94.85,2017
833,"Dallas, TX", United States,70.47,38.6,54.78,69.25,68.82,171.08,2017
834,Montreal, Canada,70.42,24.94,48.03,74.77,65.86,99.17,2017
835,Palma De Mallorca, Spain,70.38,21.48,46.31,62.43,66.72,72.7,2017
836,"Toledo, OH", United States,70.34,21.16,46.13,65.31,59.33,122.39,2017
837,"Gainesville, FL", United States,70.31,28.09,49.52,74.31,62.58,89.78,2017
838,"Salt Lake City, UT", United States,70.3,36.53,53.67,70.54,71.5,137.74,2017
839,Brescia, Italy,70.11,18.17,44.54,60.99,74.19,79.03,2017
840,Aachen, Germany,69.94,22.61,46.63,57.61,64.01,118.22,2017
841,"Kansas City, MO", United States,69.9,29.32,49.92,70.8,64.51,134.67,2017
842,Doha, Qatar,69.87,68.7,69.29,59.25,72.43,97.51,2017
843,Marseille, France,69.73,21.83,46.14,66.57,66.26,94.45,2017
844,"Mobile, AL", United States,69.53,24.51,47.37,74.84,66.25,123.62,2017
845,"Albuquerque, NM", United States,69.52,25.16,47.68,72.62,68.17,123.47,2017
846,Liverpool, United Kingdom,69.35,23.49,46.77,53.69,80.98,98.9,2017
847,Kingston, Jamaica,69.25,14.56,42.32,73.27,40.14,27.35,2017
848,Taichung, Taiwan,69.0,12.07,40.97,89.23,30.56,51.13,2017
849,Belfast, United Kingdom,68.51,22.25,45.73,63.53,76.9,96.37,2017
850,Malta, Malta,68.4,23.15,46.12,54.56,69.94,57.76,2017
851,Dresden, Germany,68.2,19.77,44.36,55.23,55.27,107.42,2017
852,Barcelona, Spain,68.0,30.0,49.29,58.54,64.74,70.89,2017
853,Abu Dhabi, United Arab Emirates,67.76,69.75,68.74,58.86,65.94,124.98,2017
854,Madrid, Spain,67.57,30.6,49.37,59.52,65.45,77.35,2017
855,"Oklahoma City, OK", United States,67.35,26.8,47.39,72.88,61.47,127.31,2017
856,Bremen, Germany,67.22,21.38,44.65,51.25,65.82,128.83,2017
857,Beirut, Lebanon,67.13,36.7,52.15,51.31,63.74,47.18,2017
858,"Knoxville, TN", United States,66.87,29.87,48.65,69.13,65.7,129.1,2017
859,Accra, Ghana,66.86,38.4,52.85,68.33,43.66,13.25,2017
860,Leipzig, Germany,66.65,19.4,43.39,51.09,60.34,84.79,2017
861,"Boise, ID", United States,66.58,27.45,47.31,67.43,67.32,108.08,2017
862,"College Station, TX", United States,66.43,32.74,49.84,75.55,59.93,100.41,2017
863,"Huntsville, AL", United States,66.34,28.5,47.71,70.03,63.59,132.14,2017
864,Hamilton, Canada,65.63,25.64,45.94,59.21,66.22,103.59,2017
865,Nicosia, Cyprus,65.45,15.34,40.78,55.82,75.69,80.35,2017
866,"Tucson, AZ", United States,65.37,23.96,44.98,66.41,65.65,133.7,2017
867,Kitchener, Canada,64.9,25.68,45.59,61.13,61.39,110.51,2017
868,Zaragoza (Saragossa), Spain,64.59,14.82,40.08,56.0,58.6,67.12,2017
869,Panama City, Panama,64.58,33.31,49.18,68.4,55.38,31.18,2017
870,"San Antonio, TX", United States,64.53,35.59,50.28,64.35,64.45,151.28,2017
871,Ljubljana, Slovenia,64.38,18.75,41.91,55.71,52.85,62.86,2017
872,"Athens, GA", United States,63.81,24.98,44.69,61.12,69.13,115.33,2017
873,"Springfield, MO", United States,63.53,18.71,41.46,70.79,59.02,75.0,2017
874,Athens, Greece,63.17,12.8,38.37,52.05,62.51,46.02,2017
875,San Jose, Costa Rica,62.82,19.37,41.43,66.54,49.73,39.41,2017
876,"Reno, NV", United States,62.75,31.98,47.6,55.85,67.85,97.3,2017
877,Sharjah, United Arab Emirates,62.75,29.39,46.32,55.77,43.26,112.18,2017
878,Limassol, Cyprus,62.63,20.2,41.74,52.97,66.19,92.17,2017
879,Heraklion, Greece,62.54,10.19,36.77,56.69,56.83,52.8,2017
880,Thessaloniki, Greece,62.2,10.7,36.84,50.66,59.25,44.31,2017
881,Amman, Jordan,62.03,14.96,38.85,54.76,58.22,37.1,2017
882,Manama, Bahrain,60.68,29.45,45.3,60.98,54.76,75.45,2017
883,Kaohsiung, Taiwan,60.51,10.75,36.01,72.9,24.31,114.38,2017
884,Valencia, Spain,59.16,18.6,39.19,50.76,57.79,81.71,2017
885,Buenos Aires, Argentina,58.82,16.23,37.85,51.48,56.77,50.94,2017
886,Rio De Janeiro, Brazil,58.43,22.74,40.86,47.02,46.86,33.68,2017
887,Sao Paulo, Brazil,58.07,19.93,39.29,46.75,48.63,36.68,2017
888,Campinas, Brazil,57.97,13.69,36.17,46.96,44.39,55.63,2017
889,Malaga, Spain,57.64,19.29,38.76,47.94,56.68,84.51,2017
890,Tallinn, Estonia,57.45,16.11,37.1,44.73,57.92,62.36,2017
891,Rijeka, Croatia,57.26,11.61,34.78,49.86,43.71,42.67,2017
892,Split, Croatia,57.26,13.0,35.47,50.68,51.48,47.32,2017
893,Granada, Spain,56.89,14.16,35.85,51.56,48.33,79.88,2017
894,Sevilla, Spain,56.49,19.96,38.5,50.08,52.62,73.77,2017
895,Brasilia, Brazil,56.14,15.55,36.15,47.68,46.08,37.65,2017
896,Shanghai, China,55.96,37.81,47.02,63.59,39.6,62.84,2017
897,Lisbon, Portugal,55.94,25.08,40.75,46.75,48.16,55.22,2017
898,Recife, Brazil,55.91,12.85,34.71,50.49,41.71,36.38,2017
899,Patras, Greece,55.85,9.0,32.78,47.11,53.87,58.61,2017
900,Zagreb, Croatia,55.84,13.49,34.99,49.38,43.02,58.91,2017
901,Cordoba, Argentina,55.79,10.96,33.72,49.35,49.92,48.99,2017
902,Muscat, Oman,55.4,28.56,42.19,51.84,56.91,95.7,2017
903,Irbil, Iraq,55.36,16.03,36.0,46.87,56.19,39.83,2017
904,Phuket, Thailand,55.08,13.9,34.81,60.64,26.92,39.72,2017
905,Santiago, Chile,55.01,16.75,36.17,49.17,51.38,46.27,2017
906,Makati, Philippines,54.67,27.34,41.21,59.93,32.23,42.77,2017
907,Santa Cruz De Tenerife, Spain,54.66,16.62,35.93,46.85,55.47,81.53,2017
