,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
306,Ludhiana,India,27.02,4.32,16.33,24.93,20.43,65.71,2016
307,Lugano,Switzerland,118.99,50.22,86.61,111.31,127.67,141.45,2016
308,Lusaka,Zambia,52.59,30.84,42.35,38.43,33.48,125.86,2016
309,Luxembourg,Luxembourg,80.99,51.47,67.09,61.68,100.81,148.47,2016
310,Lviv,Ukraine,24.48,8.66,17.03,19.63,15.41,24.75,2016
311,Lyon,France,80.9,23.76,54.0,75.57,76.21,106.72,2016
312,Maastricht,Netherlands,73.37,30.33,53.1,58.37,77.9,112.76,2016
313,"Madison, WI",United States,67.64,38.03,53.7,65.62,64.57,137.47,2016
314,Madrid,Spain,61.48,28.83,46.11,48.78,63.21,89.26,2016
315,Madurai,India,21.45,4.34,13.39,21.23,12.18,75.68,2016
316,Makati,Philippines,48.43,32.65,41.0,44.59,29.54,41.75,2016
317,Malaga,Spain,51.66,17.54,35.6,42.24,47.11,108.71,2016
318,Male,Maldives,60.28,32.02,46.97,58.34,43.27,31.83,2016
319,Malmo,Sweden,72.16,27.69,51.22,68.19,73.3,129.25,2016
320,Manama,Bahrain,53.9,33.35,44.22,48.46,53.36,109.42,2016
321,Manchester,United Kingdom,69.41,30.39,51.04,55.72,76.98,110.15,2016
322,Mangalore,India,21.88,5.15,14.0,21.21,12.71,114.63,2016
323,Manila,Philippines,41.96,15.95,29.71,38.5,26.07,46.8,2016
324,Mannheim,Germany,68.69,20.37,45.94,49.25,70.9,174.8,2016
325,Maputo,Mozambique,30.67,15.02,23.3,22.47,32.34,41.74,2016
326,Maribor,Slovenia,48.91,10.62,30.88,40.48,38.32,88.37,2016
327,Marseille,France,65.07,22.26,44.91,57.97,68.76,111.98,2016
328,Medellin,Colombia,32.14,7.92,20.74,28.48,22.24,42.71,2016
329,Melbourne,Australia,78.04,44.15,62.08,72.32,74.05,142.32,2016
330,"Melbourne, FL",United States,79.88,29.47,56.14,92.03,68.69,113.14,2016
331,"Memphis, TN",United States,71.62,30.76,52.38,73.9,68.95,131.57,2016
332,Merida,Mexico,33.13,8.07,21.33,31.42,26.42,41.07,2016
333,Mexico City,Mexico,37.2,17.69,28.02,33.82,33.78,59.81,2016
334,"Miami, FL",United States,80.67,58.92,70.43,77.1,85.97,107.88,2016
335,Milan,Italy,76.2,39.25,58.8,65.34,85.11,86.71,2016
336,Milton Keynes,United Kingdom,74.22,38.87,57.57,65.5,73.56,98.35,2016
337,"Milwaukee, WI",United States,72.63,32.67,53.81,71.81,74.69,133.67,2016
338,"Minneapolis, MN",United States,80.8,41.67,62.37,87.79,69.4,126.76,2016
339,Minsk,Belarus,33.93,13.09,24.12,27.39,37.85,39.74,2016
340,Mississauga,Canada,72.19,34.73,54.55,67.78,64.47,100.19,2016
341,"Mobile, AL",United States,65.23,24.49,46.05,64.72,64.21,157.92,2016
